timestamp	status	companies	boards	found	filtered_title	filtered_tier	filtered_location	filtered_posting_age	filtered_salary	filtered_content	filtered_cooldown	dupes	new_added	errors	filtered_blacklist
2026-07-13T13:52:06.935Z	completed	61	0	502	482	0	0	0	0	0	0	18	2	1	0
2026-07-13T14:32:39.306Z	completed	61	0	497	477	0	0	0	0	0	0	20	0	1	0
2026-07-13T14:32:43.038Z	completed	61	0	497	477	0	0	0	0	0	0	20	0	1	0
2026-07-13T14:35:04.740Z	completed	61	0	497	477	0	0	0	0	0	0	20	0	1	0
2026-07-13T15:17:30.174Z	completed	61	0	496	443	0	0	0	0	0	0	29	24	1	0
2026-07-13T15:17:34.198Z	completed	61	0	496	443	0	0	0	0	0	0	52	1	1	0
2026-07-13T17:58:00.588Z	completed	61	0	499	446	0	0	0	0	0	0	53	0	1	0
2026-07-13T17:59:38.556Z	completed	61	0	499	446	0	0	0	0	0	0	53	0	1	0
2026-07-13T18:03:56.214Z	completed	73	0	748	670	0	0	0	0	0	0	57	21	1	0
2026-07-13T18:36:36.033Z	completed	1	0	82	81	0	0	0	0	0	0	1	0	0	0
2026-07-14T11:34:56.106Z	completed	73	0	838	759	0	0	0	0	0	0	78	1	0	0
2026-07-14T11:44:49.818Z	completed	73	0	838	759	0	0	35	0	0	0	43	1	0	0
2026-07-16T12:53:30.114Z	completed	73	0	848	770	0	0	34	0	0	0	43	1	0	0
2026-07-20T08:28:26.524Z	completed	73	0	859	780	0	0	35	0	0	0	42	2	0	0
2026-07-23T12:32:07.214Z	completed	73	0	856	775	0	0	35	0	0	0	42	4	0	0
2026-07-27T12:32:18.402Z	completed	73	0	860	774	0	0	33	0	0	0	46	7	0	0
2026-07-27T13:02:10.505Z	completed	1	0	4	3	0	0	0	0	0	0	1	0	0	0
